id,lon,lat
89a90e934bbffff,-51.15600833549609,-29.99852364786682
89a90128ad3ffff,-51.20895169846657,-30.02871864813759
89a9012aadbffff,-51.22904750484215,-30.074159676444072
89a9012852fffff,-51.22276009793559,-30.069148358874354
89a90129b83ffff,-51.1747612138412,-30.010814134913243
89a9012b00fffff,-51.15441804714288,-30.10963090310908
89a901289d7ffff,-51.25436371662467,-30.02344958970905
89a901284a7ffff,-51.20833021353394,-30.088403168077754
89a90128507ffff,-51.2200089497264,-30.076318426815483
89a90128117ffff,-51.21933586621453,-30.059737061662844
89a90129b13ffff,-51.171561056632726,-30.00691972708563
89a9012b387ffff,-51.160036247092364,-30.098063857565048
89a90128abbffff,-51.22085340290278,-30.022151903873507
89a90129e4fffff,-51.142132085274056,-30.031627968165022
89a9012b1d7ffff,-51.172614901610295,-30.108083122132797
89a901298d3ffff,-51.16650422665307,-30.03233488274979
89a901282c3ffff,-51.167959204768025,-30.06827770599482
89a9012a3b3ffff,-51.227081814194754,-30.100663399831795
89a90128047ffff,-51.189241257143976,-30.067851717689926
89a90129d27ffff,-51.20266429221085,-30.023706322513398
89a90128403ffff,-51.19620194720005,-30.089441598623388
89a9012866fffff,-51.17115956965035,-30.072163135573863
89a90128c6fffff,-51.233651526042124,-30.037706145013537
89a9012910bffff,-51.14909200690274,-30.053234032300118
89a90128647ffff,-51.16840688233154,-30.0793321335912
89a90129a8fffff,-51.153815160707715,-30.01953545564902
89a90128547ffff,-51.21085745960297,-30.0757152483381
89a90128c47ffff,-51.23090073160018,-30.044880981003026
89a9012a14bffff,-51.227193863540855,-30.10342468330799
89a9012816fffff,-51.21282407964966,-30.049198115958028
89a90128d6fffff,-51.254476107700505,-30.026215391484353
89a90129943ffff,-51.183913347422575,-30.011424360695504
89a90128147ffff,-51.21007275632271,-30.056367998566685
89a90129c53ffff,-51.163975330996884,-30.04503558555971
89a901283bbffff,-51.20080929773364,-30.052998279772734
89a901298a3ffff,-51.18138525328947,-30.02412994234006
89a9012b2a7ffff,-51.145039438818806,-30.103495942249147
89a901299cbffff,-51.18413711189925,-30.016956108014522
89a90129d0bffff,-51.19076119387789,-30.030271426374746
89a90128003ffff,-51.19541770907986,-30.0700988048409
89a90128c2bffff,-51.23982613000164,-30.039955675143506
89a90129d97ffff,-51.2002488584254,-30.039173569747316
89a9012802bffff,-51.1981694913033,-30.062929238684095
89a901283d7ffff,-51.19188142635774,-30.05791642963856
89a9012b173ffff,-51.17216694225207,-30.09703327137564
89a9012b1a7ffff,-51.187497333842245,-30.099886577932534
89a90128ebbffff,-51.22163828730867,-30.041508208137156
89a90129513ffff,-51.15307565437867,-30.0764720702895
89a9012127bffff,-51.25475805579719,-30.107990117160288
89a90129873ffff,-51.169032801813756,-30.019629596579147
89a901288d7ffff,-51.23353938419169,-30.034944839990832
89a90129bdbffff,-51.16263262181798,-30.011844944471417
89a9012a35bffff,-51.20569056519415,-30.09833422488865
89a901285a7ffff,-51.229159573848165,-30.076920969253127
89a90129c83ffff,-51.176328436531215,-30.04953186796053
89a9012aa9bffff,-51.23819798058332,-30.07476159065643
89a90129dabffff,-51.19991260483811,-30.030876021038548
89a9012a373ffff,-51.21461811205261,-30.093410646584346
89a9012a3a7ffff,-51.22994523991555,-30.096259005546102
89a90129e37ffff,-51.16032751933381,-30.030081904771123
89a9012831bffff,-51.19165745968937,-30.0523892439743
89a90128573ffff,-51.213833183462945,-30.07407249897352
89a9012ae37ffff,-51.247572440925964,-30.080889928402737
89a90128a5bffff,-51.20255204593682,-30.02094047018012
89a90129dc3ffff,-51.18800911798506,-30.037440872453942
89a901298a7ffff,-51.184361227002,-30.022487849742944
89a9012aacfffff,-51.231910736364796,-30.069755224886862
89a90129cb7ffff,-51.18525729672962,-30.044610253925114
89a90129117ffff,-51.1552692459609,-30.055483014204714
89a9012b2b3ffff,-51.14217397782522,-30.107898494611295
89a9012a267ffff,-51.19665027026203,-30.100491372283066
89a9012992fffff,-51.19879208596259,-30.003217441867605
89a90128073ffff,-51.19221743070449,-30.066209454618527
