route_id,route_short_name,route_long_name,fare_id,price,type,price_bu
12865722,550,Cidade de Deus - Gávea,32069624,4.05,onibus_municipal,4.05
12863318,814,Rio da Prata - Bangu (Circular),32069624,4.05,onibus_municipal,4.05
12860378,846,Rio da Prata - Campo Grande (via Estrada do Cabuçu),32069624,4.05,onibus_municipal,4.05
31695165,870A,Sepetiba - Santa Cruz,34127545,4.05,onibus_municipal,4.05
39459507,603,Águas Lindas - Terminal Corrêas,50226559,4.05,onibus_metro,4.05
12867380,471,Triagem - Siqueira Campos (via Túnel Velho),32069624,4.05,onibus_municipal,4.05
12866547,472,Triagem - Leme (via Rodoviária / Praia do Flamengo),32069624,4.05,onibus_municipal,4.05
49746078,BRT 35,Madureira - Alvorada,34127393,4.05,brt,4.05
12864839,399,Pavuna - Passeio (via Av. Pres. Vargas/Rua Alcobaça),32069624,4.05,onibus_municipal,4.05
12865894,416,Saens Peña - Jardim Botânico (Horto) (via Túnel Rebouças),32069624,4.05,onibus_municipal,4.05
38444184,108,Troncal 06 - Jardim de Alah - Rodoviária (via Túnel Velho/Túnel Santa Bárbara),32069624,4.05,onibus_municipal,4.05
12864200,906,Jardim América - Caju,32069624,4.05,onibus_municipal,4.05
39620065,101,Troncal 10 - Jardim de Alah - Cruz Vermelha (via Jardim Botânico/Lapa),32069624,4.05,onibus_municipal,4.05
12860099,608,Grajaú - Praça Saens Peña,32069624,4.05,onibus_metro,4.05
26979915,538,Rocinha - Leme (via Estrada da Gávea/Jóquei) (Circular),32069624,4.05,onibus_municipal,4.05
12863997,621,Penha - Saens Peña (via Mangueira) (Circular),32069624,4.05,onibus_municipal,4.05
41834767,755,Realengo - Coelho Neto (Circular),32069624,4.05,onibus_municipal,4.05
50366545,BRT 38,Fundão - Alvorada,34127393,4.05,brt,4.05
39459395,209,Valparaíso - Centro,50226559,4.05,onibus_metro,4.05
33084158,BRT 42,Fundão - Divina Providência,34127393,4.05,brt,4.05
12862174,709,Cascadura - Amarelinho (Circular),32069624,4.05,onibus_municipal,4.05
12865601,711,Rocha Miranda - Rio Comprido,32069624,4.05,onibus_municipal,4.05
12863292,859,Covanca - Largo do Tanque (Circular),32069624,4.05,onibus_municipal,4.05
12863100,383,Realengo - Praça da República (via Sulacap),32069624,4.05,onibus_municipal,4.05
31861246,BRT 30,Alvorada - Galeão,34127393,4.05,brt,4.05
12864922,829,Gardênia Azul - Freguesia (Circular),32069624,4.05,onibus_municipal,4.05
12864906,368,Riocentro - Candelária,32069624,4.05,onibus_municipal,4.05
12861311,323,Bananal - Castelo (via Cacuia) (Circular),32069624,4.05,onibus_municipal,4.05
12860406,326,Bancários - Candelária,32069624,4.05,onibus_municipal,4.05
12864899,209,Estácio - Caju (via São Cristóvão) (Circular),32069624,4.05,onibus_metro,4.05
12866501,725,Ricardo de Albuquerque - Cascadura (Circular),32069624,4.05,onibus_municipal,4.05
12861286,395,Coqueiros - Tiradentes,32069624,4.05,onibus_municipal,4.05
12861412,867,Barra de Guaratiba - Campo Grande,32069624,4.05,onibus_municipal,4.05
12860382,394,Vila Kennedy - Tiradentes,32069624,4.05,onibus_municipal,4.05
31185687,346,Madureira - Candelária,32069624,4.05,onibus_municipal,4.05
39459516,611,Bonfim - Terminal Corrêas,50226559,4.05,onibus_metro,4.05
31117494,832,Taquara - Alvorada (via Curicica / Península),34127545,4.05,onibus_municipal,4.05
12867258,473,São Januário - Lido (via Túnel Rebouças),32069624,4.05,onibus_municipal,4.05
12862162,667,Madureira - Méier (Circular),32069624,4.05,onibus_municipal,4.05
12861236,779,Pavuna - Madureira (via Rua João Vicente),32069624,4.05,onibus_municipal,4.05
12866669,391,Padre Miguel - Praça Tiradentes,32069624,4.05,onibus_municipal,4.05
12860402,384,Pavuna - Passeio,32069624,4.05,onibus_municipal,4.05
48627939,BRT 21A,Recreio Shopping - Jardim Oceânico (via Alvorada),34127393,4.05,brt,4.05
12865782,338,Taquara - Candelária (via Linha Amarela),32069624,4.05,onibus_municipal,4.05
12866581,601,Praça Saens Peña - Santa Maria (via Av. Menezes Cortes),32069624,4.05,onibus_municipal,4.05
26977125,537,Gávea (PUC) - Rocinha (Via Estr. da Gávea) (Circular),32069624,4.05,onibus_municipal,4.05
12862210,133,Rodoviária - Largo do Machado (via Estácio),32069624,4.05,onibus_municipal,4.05
12860141,370,Padre Miguel - Candelária,32069624,4.05,onibus_municipal,4.05
12861080,315,Recreio dos Bandeirantes - Central (via Linha Amarela),32069624,4.05,onibus_municipal,4.05
13386970,BRT 10,Santa Cruz - Alvorada,34127393,4.05,brt,4.05
12863362,884,Sepetiba - Campo Grande (via Estrada do Magarça),32069624,4.05,onibus_municipal,4.05
12862289,331,Praça Seca - Castelo (via Linha Amarela),32069624,4.05,onibus_municipal,4.05
48940358,881,Jardim Oceânico - Curicica (via Barra da Tijuca/ Av. Lúcio Costa),32069624,4.05,onibus_municipal,4.05
12863037,850,Mendanha - Campo Grande,32069624,4.05,onibus_municipal,4.05
12863348,741,Barata - Bangu (via Murundu) (Circular),32069624,4.05,onibus_municipal,4.05
12862222,835,Largo do Correia - Campo Grande (via Estrada da Cachamorra),32069624,4.05,onibus_municipal,4.05
12861331,605,Vila Isabel - São Francisco Xavier,32069624,4.05,onibus_metro,4.05
12863372,848,Campo Grande - Bairro Monte Santo (Circular),32069624,4.05,onibus_municipal,4.05
12863176,311,Engenheiro Leal - Candelária (via Cavalcanti),32069624,4.05,onibus_municipal,4.05
31125278,882A,Tanque - Terminal Alvorada (via Ayrton Senna),34127545,4.05,onibus_municipal,4.05
12861348,328,Bananal - Candelária,32069624,4.05,onibus_municipal,4.05
12861076,557,Rio das Pedras - Copacabana (Circular),32069624,4.05,onibus_municipal,4.05
22820761,BRT 12,Pingo D'água - Alvorada,34127393,4.05,brt,4.05
12862275,839,Campo Grande - Cesarão (via Estrada Urucânia) (Circular),32069624,4.05,onibus_municipal,4.05
12863211,915,Bonsucesso - Aeroporto Internacional do RJ (AIRJ) (Circular),32069624,4.05,onibus_municipal,4.05
12866441,232,Lins - Castelo (via Rua Aquidabã),32069624,4.05,onibus_municipal,4.05
39459509,605,Vale das Videiras - Terminal Itaipava,50226559,4.05,onibus_metro,4.05
12861274,389,Vila Aliança - Candelária (via Senador Camará) (Expresso),32069624,4.05,onibus_municipal,4.05
12862218,721,Vila Cruzeiro - Cascadura,32069624,4.05,onibus_municipal,4.05
12863033,345,Jardim Oceânico - Candelária (via Furnas),32069624,4.05,onibus_municipal,4.05
37263375,554,Integrada 09 - Rio Sul - Piabas (via Av. Atlântica/Av. Niemeyer/Estrada Benvindo de Novaes),32069624,4.05,onibus_municipal,4.05
12868547,793,Pavuna - Sulacap,32069624,4.05,onibus_municipal,4.05
31119868,880,Rio das Pedras - Terminal Alvorada (via Av. Ayrton Senna),32069624,4.05,onibus_municipal,4.05
39459513,608,Calembe - Terminal Corrêas,50226559,4.05,onibus_metro,4.05
